사용자아이디,영화아이디,평점,타임스탬프,성별,연령,직업,지역,영화제목,장르
5530,32,4,959995381,F,18,4,63141,Twelve Monkeys (1995),Drama|Sci-Fi
5535,32,3,959580970,M,25,15,94538,Twelve Monkeys (1995),Drama|Sci-Fi
5536,32,4,959815562,M,25,16,67204,Twelve Monkeys (1995),Drama|Sci-Fi
5543,32,5,959509723,M,25,17,97401,Twelve Monkeys (1995),Drama|Sci-Fi
5545,32,4,960695421,F,35,16,98072,Twelve Monkeys (1995),Drama|Sci-Fi
5550,32,2,959471340,M,35,15,48187,Twelve Monkeys (1995),Drama|Sci-Fi
5554,32,5,959451444,M,25,1,92116,Twelve Monkeys (1995),Drama|Sci-Fi
5555,32,3,959551465,M,1,10,37830,Twelve Monkeys (1995),Drama|Sci-Fi
5556,32,3,959442514,M,45,6,92103,Twelve Monkeys (1995),Drama|Sci-Fi
5557,32,4,959440658,M,35,14,33701,Twelve Monkeys (1995),Drama|Sci-Fi
5560,32,4,959375205,F,35,17,98036,Twelve Monkeys (1995),Drama|Sci-Fi
5565,32,5,959355379,M,18,17,2114,Twelve Monkeys (1995),Drama|Sci-Fi
5570,32,5,959309667,M,25,1,7666,Twelve Monkeys (1995),Drama|Sci-Fi
5592,32,5,959266334,M,25,1,53706,Twelve Monkeys (1995),Drama|Sci-Fi
5593,32,4,959226272,M,50,16,90210,Twelve Monkeys (1995),Drama|Sci-Fi
5595,32,5,959311141,M,25,20,90027,Twelve Monkeys (1995),Drama|Sci-Fi
5596,32,4,959220037,M,35,12,22201,Twelve Monkeys (1995),Drama|Sci-Fi
5605,32,3,959298321,F,18,2,95008,Twelve Monkeys (1995),Drama|Sci-Fi
5614,32,5,959189570,M,25,0,12833,Twelve Monkeys (1995),Drama|Sci-Fi
5615,32,3,959132203,M,35,7,7028,Twelve Monkeys (1995),Drama|Sci-Fi
5617,32,2,959128290,M,25,14,48336,Twelve Monkeys (1995),Drama|Sci-Fi
5623,32,4,959094112,M,25,11,84109,Twelve Monkeys (1995),Drama|Sci-Fi
5627,32,3,959043788,M,25,0,7040,Twelve Monkeys (1995),Drama|Sci-Fi
5629,32,4,965417133,M,25,14,2465,Twelve Monkeys (1995),Drama|Sci-Fi
5631,32,5,959135391,M,35,12,1944,Twelve Monkeys (1995),Drama|Sci-Fi
5636,32,5,959053405,M,25,7,98102,Twelve Monkeys (1995),Drama|Sci-Fi
5643,32,4,958889850,F,35,1,84108,Twelve Monkeys (1995),Drama|Sci-Fi
5645,32,5,958878081,M,25,2,87123,Twelve Monkeys (1995),Drama|Sci-Fi
5648,32,3,958889103,M,25,17,48473,Twelve Monkeys (1995),Drama|Sci-Fi
5654,32,4,958846211,M,25,4,95616,Twelve Monkeys (1995),Drama|Sci-Fi
5656,32,2,958836208,M,25,15,3755,Twelve Monkeys (1995),Drama|Sci-Fi
5657,32,4,1041646078,M,50,14,92026,Twelve Monkeys (1995),Drama|Sci-Fi
5659,32,5,958788479,M,25,0,20874,Twelve Monkeys (1995),Drama|Sci-Fi
5664,32,5,958763785,M,18,4,48363,Twelve Monkeys (1995),Drama|Sci-Fi
5665,32,3,958759818,M,18,4,10461-1301,Twelve Monkeys (1995),Drama|Sci-Fi
5667,32,4,958768539,M,35,7,10009,Twelve Monkeys (1995),Drama|Sci-Fi
5670,32,5,958715573,M,18,4,48109,Twelve Monkeys (1995),Drama|Sci-Fi
5675,32,4,958744388,M,35,14,30030,Twelve Monkeys (1995),Drama|Sci-Fi
5678,32,4,958627083,M,35,17,98103,Twelve Monkeys (1995),Drama|Sci-Fi
5682,32,5,959043677,M,18,0,23455-4959,Twelve Monkeys (1995),Drama|Sci-Fi
5686,32,4,958603587,M,56,16,60610,Twelve Monkeys (1995),Drama|Sci-Fi
5688,32,3,958602639,F,18,4,78666,Twelve Monkeys (1995),Drama|Sci-Fi
5689,32,3,967694546,M,25,0,84119,Twelve Monkeys (1995),Drama|Sci-Fi
5690,32,4,958599536,M,18,4,78666,Twelve Monkeys (1995),Drama|Sci-Fi
5698,32,5,958589712,M,35,14,55418,Twelve Monkeys (1995),Drama|Sci-Fi
5699,32,4,958588280,M,35,15,94706,Twelve Monkeys (1995),Drama|Sci-Fi
5701,32,3,958587942,M,25,7,55311,Twelve Monkeys (1995),Drama|Sci-Fi
5706,32,3,958529831,M,18,17,8550,Twelve Monkeys (1995),Drama|Sci-Fi
5708,32,3,958523268,M,35,1,90034,Twelve Monkeys (1995),Drama|Sci-Fi
5709,32,4,961730423,M,18,4,90024,Twelve Monkeys (1995),Drama|Sci-Fi
5710,32,4,958519332,M,25,15,90034,Twelve Monkeys (1995),Drama|Sci-Fi
5717,32,3,958743623,M,25,0,3766,Twelve Monkeys (1995),Drama|Sci-Fi
5720,32,3,958503509,M,25,0,60610,Twelve Monkeys (1995),Drama|Sci-Fi
5723,32,5,1003888627,M,18,12,55057,Twelve Monkeys (1995),Drama|Sci-Fi
5738,32,3,958415227,M,25,12,55406,Twelve Monkeys (1995),Drama|Sci-Fi
5746,32,3,958355087,M,18,15,94061,Twelve Monkeys (1995),Drama|Sci-Fi
5747,32,3,958356444,M,25,0,3755,Twelve Monkeys (1995),Drama|Sci-Fi
5749,32,4,962843275,M,25,2,94117,Twelve Monkeys (1995),Drama|Sci-Fi
5755,32,5,958266210,F,35,2,78744,Twelve Monkeys (1995),Drama|Sci-Fi
5757,32,4,958258872,M,1,10,5667,Twelve Monkeys (1995),Drama|Sci-Fi
5759,32,5,959558368,F,25,1,8904,Twelve Monkeys (1995),Drama|Sci-Fi
5762,32,5,958220112,F,35,6,55125,Twelve Monkeys (1995),Drama|Sci-Fi
5763,32,4,959535354,F,25,1,8904,Twelve Monkeys (1995),Drama|Sci-Fi
5765,32,5,958179803,M,25,11,44515,Twelve Monkeys (1995),Drama|Sci-Fi
5767,32,3,958176299,M,25,2,75287,Twelve Monkeys (1995),Drama|Sci-Fi
5769,32,5,958174528,M,45,14,5602,Twelve Monkeys (1995),Drama|Sci-Fi
5776,32,4,958162892,M,18,12,97205,Twelve Monkeys (1995),Drama|Sci-Fi
5778,32,4,958157836,M,35,12,85257,Twelve Monkeys (1995),Drama|Sci-Fi
5779,32,4,958159775,M,25,5,10011,Twelve Monkeys (1995),Drama|Sci-Fi
5787,32,5,958109524,M,25,20,90802,Twelve Monkeys (1995),Drama|Sci-Fi
5792,32,4,1001008956,M,25,17,43201,Twelve Monkeys (1995),Drama|Sci-Fi
5795,32,4,958078345,M,25,1,92688,Twelve Monkeys (1995),Drama|Sci-Fi
5801,32,4,958011404,M,25,16,4103,Twelve Monkeys (1995),Drama|Sci-Fi
5811,32,4,957943136,M,18,4,60202,Twelve Monkeys (1995),Drama|Sci-Fi
5815,32,4,957915676,M,25,20,90048,Twelve Monkeys (1995),Drama|Sci-Fi
5824,32,4,957898363,M,18,12,18052,Twelve Monkeys (1995),Drama|Sci-Fi
5826,32,5,957896758,M,18,4,60201,Twelve Monkeys (1995),Drama|Sci-Fi
5831,32,4,957893807,M,25,1,92120,Twelve Monkeys (1995),Drama|Sci-Fi
5837,32,5,958144080,M,25,7,60607,Twelve Monkeys (1995),Drama|Sci-Fi
5843,32,4,957805059,M,35,1,83301,Twelve Monkeys (1995),Drama|Sci-Fi
5844,32,5,957801404,F,1,10,2131,Twelve Monkeys (1995),Drama|Sci-Fi
5853,32,5,957748293,M,50,19,13903,Twelve Monkeys (1995),Drama|Sci-Fi
5854,32,4,957744558,M,45,7,33135,Twelve Monkeys (1995),Drama|Sci-Fi
5855,32,4,957733266,M,50,7,19462,Twelve Monkeys (1995),Drama|Sci-Fi
5862,32,5,957670469,F,25,9,76120,Twelve Monkeys (1995),Drama|Sci-Fi
5865,32,3,957653829,M,25,17,95926,Twelve Monkeys (1995),Drama|Sci-Fi
5874,32,4,975280371,M,25,4,1002,Twelve Monkeys (1995),Drama|Sci-Fi
5875,32,5,957566330,M,25,4,19103,Twelve Monkeys (1995),Drama|Sci-Fi
5878,32,5,1043781375,F,25,0,60640,Twelve Monkeys (1995),Drama|Sci-Fi
5880,32,4,958405323,M,25,1,8904,Twelve Monkeys (1995),Drama|Sci-Fi
5886,32,5,957487335,M,25,20,2139,Twelve Monkeys (1995),Drama|Sci-Fi
5888,32,3,957535632,M,25,20,64114,Twelve Monkeys (1995),Drama|Sci-Fi
5892,32,4,957465916,M,45,2,10920,Twelve Monkeys (1995),Drama|Sci-Fi
5911,32,5,957373638,F,25,17,80301,Twelve Monkeys (1995),Drama|Sci-Fi
5913,32,3,957357652,F,18,0,47901,Twelve Monkeys (1995),Drama|Sci-Fi
5915,32,5,957334179,M,18,4,58102,Twelve Monkeys (1995),Drama|Sci-Fi
5916,32,3,957321997,M,50,20,48230,Twelve Monkeys (1995),Drama|Sci-Fi
5922,32,4,957470982,M,56,3,94561,Twelve Monkeys (1995),Drama|Sci-Fi
5925,32,4,957284984,F,25,0,90035-4444,Twelve Monkeys (1995),Drama|Sci-Fi
5927,32,3,957272421,M,35,14,10003,Twelve Monkeys (1995),Drama|Sci-Fi
5937,32,4,957214229,M,25,12,60622,Twelve Monkeys (1995),Drama|Sci-Fi
5939,32,4,957213515,F,45,15,77040,Twelve Monkeys (1995),Drama|Sci-Fi
5944,32,1,957197567,F,18,10,27606,Twelve Monkeys (1995),Drama|Sci-Fi
5950,32,5,957182213,M,25,4,19713,Twelve Monkeys (1995),Drama|Sci-Fi
5953,32,4,957142835,M,1,10,21030,Twelve Monkeys (1995),Drama|Sci-Fi
5954,32,5,957703211,M,45,11,70802,Twelve Monkeys (1995),Drama|Sci-Fi
5955,32,5,957109505,F,25,7,34952,Twelve Monkeys (1995),Drama|Sci-Fi
5956,32,4,957082146,F,18,4,2142,Twelve Monkeys (1995),Drama|Sci-Fi
5964,32,5,956994372,M,18,5,97202,Twelve Monkeys (1995),Drama|Sci-Fi
5973,32,5,956950581,M,1,10,54701,Twelve Monkeys (1995),Drama|Sci-Fi
5974,32,3,956947532,F,25,1,32303,Twelve Monkeys (1995),Drama|Sci-Fi
5983,32,2,956926305,M,25,3,29208,Twelve Monkeys (1995),Drama|Sci-Fi
5984,32,5,956907914,M,25,1,60657,Twelve Monkeys (1995),Drama|Sci-Fi
5988,32,3,956875894,M,25,15,94022,Twelve Monkeys (1995),Drama|Sci-Fi
5995,32,5,956856452,F,35,1,14618,Twelve Monkeys (1995),Drama|Sci-Fi
5997,32,4,956848775,F,25,7,10016,Twelve Monkeys (1995),Drama|Sci-Fi
6000,32,4,956882026,M,45,17,30075,Twelve Monkeys (1995),Drama|Sci-Fi
6003,32,5,956797523,F,45,17,78722,Twelve Monkeys (1995),Drama|Sci-Fi
6014,32,4,956779404,M,45,1,80634,Twelve Monkeys (1995),Drama|Sci-Fi
6016,32,4,956957883,M,45,1,37209,Twelve Monkeys (1995),Drama|Sci-Fi
6018,32,4,956764357,M,35,1,48906,Twelve Monkeys (1995),Drama|Sci-Fi
6026,32,3,956725986,M,35,6,11210,Twelve Monkeys (1995),Drama|Sci-Fi
6030,32,5,956718440,M,25,17,32618,Twelve Monkeys (1995),Drama|Sci-Fi
6031,32,4,956717883,F,18,0,45123,Twelve Monkeys (1995),Drama|Sci-Fi
6035,32,4,956711064,F,25,1,78734,Twelve Monkeys (1995),Drama|Sci-Fi
6036,32,3,956712862,F,25,15,32603,Twelve Monkeys (1995),Drama|Sci-Fi
6037,32,3,956801666,F,45,1,76006,Twelve Monkeys (1995),Drama|Sci-Fi
6040,32,4,960971916,M,25,6,11106,Twelve Monkeys (1995),Drama|Sci-Fi
5,34,4,978244603,M,25,20,55455,Babe (1995),Children's|Comedy|Drama
6,34,4,978237444,F,50,9,55117,Babe (1995),Children's|Comedy|Drama
17,34,5,978159683,M,50,1,95350,Babe (1995),Children's|Comedy|Drama
18,34,5,978155186,F,18,3,95825,Babe (1995),Children's|Comedy|Drama
19,34,3,978556367,M,1,10,48073,Babe (1995),Children's|Comedy|Drama
23,34,3,978465212,M,35,0,90049,Babe (1995),Children's|Comedy|Drama
33,34,2,978109250,M,45,3,55421,Babe (1995),Children's|Comedy|Drama
34,34,5,978102999,F,18,0,2135,Babe (1995),Children's|Comedy|Drama
36,34,5,978063211,M,25,3,94123,Babe (1995),Children's|Comedy|Drama
38,34,3,978046225,F,18,4,2215,Babe (1995),Children's|Comedy|Drama
42,34,3,978041728,M,25,8,24502,Babe (1995),Children's|Comedy|Drama
44,34,4,978019343,M,45,17,98052,Babe (1995),Children's|Comedy|Drama
45,34,1,977990135,F,45,16,94110,Babe (1995),Children's|Comedy|Drama
47,34,4,977978774,M,18,4,94305,Babe (1995),Children's|Comedy|Drama
48,34,3,977975959,M,25,4,92107,Babe (1995),Children's|Comedy|Drama
51,34,4,977947865,F,1,10,10562,Babe (1995),Children's|Comedy|Drama
53,34,5,977982851,M,25,0,96931,Babe (1995),Children's|Comedy|Drama
54,34,4,977944859,M,50,1,56723,Babe (1995),Children's|Comedy|Drama
56,34,5,977939697,M,35,20,60440,Babe (1995),Children's|Comedy|Drama
58,34,4,977937515,M,25,2,30303,Babe (1995),Children's|Comedy|Drama
65,34,4,991369258,M,35,12,55803,Babe (1995),Children's|Comedy|Drama
73,34,3,977867771,M,18,4,53706,Babe (1995),Children's|Comedy|Drama
74,34,2,983916026,M,35,14,94530,Babe (1995),Children's|Comedy|Drama
75,34,3,977852384,F,1,10,1748,Babe (1995),Children's|Comedy|Drama
78,34,5,978570648,F,45,1,98029,Babe (1995),Children's|Comedy|Drama
90,34,3,993872315,M,56,13,85749,Babe (1995),Children's|Comedy|Drama
92,34,3,977645744,F,18,4,44243,Babe (1995),Children's|Comedy|Drama
99,34,3,982873715,F,1,10,19390,Babe (1995),Children's|Comedy|Drama
114,34,4,977506262,F,25,2,83712,Babe (1995),Children's|Comedy|Drama
117,34,2,977498383,M,25,17,33314,Babe (1995),Children's|Comedy|Drama
119,34,4,977513578,F,1,10,77515,Babe (1995),Children's|Comedy|Drama
124,34,5,983727088,M,56,7,91356,Babe (1995),Children's|Comedy|Drama
132,34,5,977427960,M,25,17,99709,Babe (1995),Children's|Comedy|Drama
137,34,4,1000868590,F,45,6,78758,Babe (1995),Children's|Comedy|Drama
139,34,4,977361121,F,25,20,45409,Babe (1995),Children's|Comedy|Drama
146,34,5,977348756,F,35,20,10954,Babe (1995),Children's|Comedy|Drama
148,34,5,977335265,M,50,17,57747,Babe (1995),Children's|Comedy|Drama
149,34,4,978190942,M,25,1,29205,Babe (1995),Children's|Comedy|Drama
150,34,5,977303505,M,35,7,98144,Babe (1995),Children's|Comedy|Drama
151,34,4,992133225,F,25,20,85013,Babe (1995),Children's|Comedy|Drama
157,34,3,977247998,M,35,16,12866,Babe (1995),Children's|Comedy|Drama
161,34,5,977221736,M,45,16,98107-2117,Babe (1995),Children's|Comedy|Drama
166,34,3,977187223,M,18,4,92802,Babe (1995),Children's|Comedy|Drama
169,34,4,977199178,M,25,7,55439,Babe (1995),Children's|Comedy|Drama
175,34,5,977115108,F,25,2,95123,Babe (1995),Children's|Comedy|Drama
180,34,4,977090270,M,45,12,1603,Babe (1995),Children's|Comedy|Drama
182,34,4,977084788,M,18,4,3052,Babe (1995),Children's|Comedy|Drama
184,34,5,1038970406,F,25,0,19001,Babe (1995),Children's|Comedy|Drama
187,34,5,977076997,F,45,1,94061,Babe (1995),Children's|Comedy|Drama
192,34,4,977024599,M,18,1,10977,Babe (1995),Children's|Comedy|Drama
193,34,4,977020109,F,45,15,44106,Babe (1995),Children's|Comedy|Drama
194,34,3,977014830,F,1,10,29146,Babe (1995),Children's|Comedy|Drama
195,34,5,977025280,M,25,12,10458,Babe (1995),Children's|Comedy|Drama
204,34,3,978039240,M,25,7,92123,Babe (1995),Children's|Comedy|Drama
213,34,3,976900264,F,18,4,1609,Babe (1995),Children's|Comedy|Drama
214,34,3,976900529,M,18,20,80218,Babe (1995),Children's|Comedy|Drama
216,34,1,976866705,M,45,13,52761,Babe (1995),Children's|Comedy|Drama
220,34,5,976836388,M,25,12,22903,Babe (1995),Children's|Comedy|Drama
223,34,4,976902998,M,25,17,28262,Babe (1995),Children's|Comedy|Drama
225,34,3,976831487,M,25,7,11215,Babe (1995),Children's|Comedy|Drama
229,34,3,1039503591,M,18,10,4576,Babe (1995),Children's|Comedy|Drama
232,34,5,976812624,M,25,20,55408,Babe (1995),Children's|Comedy|Drama
235,34,5,977093333,M,25,0,98153,Babe (1995),Children's|Comedy|Drama
236,34,3,976765152,M,25,5,55126,Babe (1995),Children's|Comedy|Drama
237,34,5,976761939,M,25,6,46835,Babe (1995),Children's|Comedy|Drama
238,34,5,976760830,F,50,7,90291,Babe (1995),Children's|Comedy|Drama
240,34,3,976757568,M,50,17,55113,Babe (1995),Children's|Comedy|Drama
246,34,3,976728403,F,18,4,60625,Babe (1995),Children's|Comedy|Drama
247,34,5,976728462,M,25,17,94404,Babe (1995),Children's|Comedy|Drama
253,34,4,976688285,F,25,11,97370,Babe (1995),Children's|Comedy|Drama
258,34,4,976671729,M,25,7,55436,Babe (1995),Children's|Comedy|Drama
261,34,5,976667954,M,25,20,75801,Babe (1995),Children's|Comedy|Drama
263,34,5,976651957,F,25,7,22304,Babe (1995),Children's|Comedy|Drama
267,34,3,976644230,M,45,12,55001,Babe (1995),Children's|Comedy|Drama
269,34,5,976659206,M,25,2,55408,Babe (1995),Children's|Comedy|Drama
271,34,2,999137744,M,18,4,48202,Babe (1995),Children's|Comedy|Drama
272,34,4,976695518,M,18,0,80302,Babe (1995),Children's|Comedy|Drama
273,34,2,976774170,M,18,4,55427,Babe (1995),Children's|Comedy|Drama
280,34,1,976574915,M,50,7,19118,Babe (1995),Children's|Comedy|Drama
281,34,5,976571396,F,35,0,94117,Babe (1995),Children's|Comedy|Drama
287,34,3,976568926,M,50,13,94706,Babe (1995),Children's|Comedy|Drama
291,34,4,976565455,M,35,12,55110,Babe (1995),Children's|Comedy|Drama
293,34,5,980974120,M,56,1,55337-4056,Babe (1995),Children's|Comedy|Drama
294,34,4,976542570,F,45,9,43147,Babe (1995),Children's|Comedy|Drama
299,34,5,976660307,M,25,12,97370,Babe (1995),Children's|Comedy|Drama
300,34,5,976506099,M,25,7,78664,Babe (1995),Children's|Comedy|Drama
301,34,5,976573729,M,18,4,61820,Babe (1995),Children's|Comedy|Drama
302,34,4,976505265,M,18,4,4901,Babe (1995),Children's|Comedy|Drama
303,34,4,976507177,M,25,7,20006,Babe (1995),Children's|Comedy|Drama
309,34,4,976484423,M,25,4,16801,Babe (1995),Children's|Comedy|Drama
326,34,5,976424101,M,50,11,25302,Babe (1995),Children's|Comedy|Drama
329,34,4,977870154,M,35,7,2115,Babe (1995),Children's|Comedy|Drama
331,34,5,976848780,M,25,7,55902,Babe (1995),Children's|Comedy|Drama
332,34,5,976381952,M,50,1,55109,Babe (1995),Children's|Comedy|Drama
333,34,3,996356093,M,35,2,55410,Babe (1995),Children's|Comedy|Drama
342,34,4,976337691,M,18,12,55076,Babe (1995),Children's|Comedy|Drama
345,34,2,976335506,M,25,12,94114,Babe (1995),Children's|Comedy|Drama
368,34,5,976669346,M,25,0,90293,Babe (1995),Children's|Comedy|Drama
369,34,4,976309696,M,35,1,55110,Babe (1995),Children's|Comedy|Drama
380,34,5,976316232,M,25,2,92024,Babe (1995),Children's|Comedy|Drama
386,34,1,976304195,M,25,0,55408,Babe (1995),Children's|Comedy|Drama
396,34,5,976297254,M,25,1,56187,Babe (1995),Children's|Comedy|Drama
398,34,4,1044567174,M,25,17,55454,Babe (1995),Children's|Comedy|Drama
402,34,4,976294894,M,25,11,55427,Babe (1995),Children's|Comedy|Drama
404,34,4,980781033,M,18,4,10128,Babe (1995),Children's|Comedy|Drama
408,34,5,976294660,M,25,11,2143,Babe (1995),Children's|Comedy|Drama
411,34,4,1010353131,F,45,1,43214,Babe (1995),Children's|Comedy|Drama
412,34,5,976299518,M,35,15,55117,Babe (1995),Children's|Comedy|Drama
413,34,5,976286872,M,25,11,55409,Babe (1995),Children's|Comedy|Drama
415,34,3,976287257,F,35,0,55406,Babe (1995),Children's|Comedy|Drama
420,34,5,983206889,M,35,1,55406,Babe (1995),Children's|Comedy|Drama
424,34,4,976306643,M,25,17,55112,Babe (1995),Children's|Comedy|Drama
438,34,3,976245375,M,18,11,53705,Babe (1995),Children's|Comedy|Drama
441,34,5,976242343,M,35,1,55127,Babe (1995),Children's|Comedy|Drama
442,34,5,976241312,M,25,1,55105,Babe (1995),Children's|Comedy|Drama
444,34,5,976240181,M,56,0,55108,Babe (1995),Children's|Comedy|Drama
451,34,5,976417184,M,56,13,54720,Babe (1995),Children's|Comedy|Drama
453,34,4,976233170,M,18,4,55102,Babe (1995),Children's|Comedy|Drama
464,34,2,976227519,F,18,4,55455,Babe (1995),Children's|Comedy|Drama
470,34,3,976223115,F,1,10,55068,Babe (1995),Children's|Comedy|Drama
476,34,5,976221231,M,35,0,55127,Babe (1995),Children's|Comedy|Drama
479,34,4,976218627,M,25,12,55042,Babe (1995),Children's|Comedy|Drama
486,34,5,976216239,M,56,0,91367,Babe (1995),Children's|Comedy|Drama
487,34,5,981929235,F,35,17,55082,Babe (1995),Children's|Comedy|Drama
494,34,5,976214483,F,35,0,17870,Babe (1995),Children's|Comedy|Drama
500,34,4,979258178,F,18,2,55105,Babe (1995),Children's|Comedy|Drama
509,34,3,976206060,M,25,2,55125,Babe (1995),Children's|Comedy|Drama
516,34,3,976279592,F,56,14,55033,Babe (1995),Children's|Comedy|Drama
519,34,4,979336166,F,35,14,55038,Babe (1995),Children's|Comedy|Drama
520,34,4,976199668,F,35,20,55104,Babe (1995),Children's|Comedy|Drama
523,34,5,976193525,M,50,7,55105,Babe (1995),Children's|Comedy|Drama
524,34,4,976168096,M,18,0,91320,Babe (1995),Children's|Comedy|Drama
528,34,2,980037809,F,18,17,83843,Babe (1995),Children's|Comedy|Drama
531,34,3,978643783,F,18,14,22206,Babe (1995),Children's|Comedy|Drama
541,34,5,976125591,F,18,4,5849574,Babe (1995),Children's|Comedy|Drama
546,34,4,976068967,F,25,0,37211,Babe (1995),Children's|Comedy|Drama
549,34,4,976068602,M,25,6,53217,Babe (1995),Children's|Comedy|Drama
550,34,5,976066622,M,45,8,21559,Babe (1995),Children's|Comedy|Drama
551,34,2,976066740,M,35,20,55116,Babe (1995),Children's|Comedy|Drama
570,34,4,976001624,M,25,4,33314,Babe (1995),Children's|Comedy|Drama
576,34,3,975981105,F,45,15,20910,Babe (1995),Children's|Comedy|Drama
581,34,3,975966372,M,50,14,73543,Babe (1995),Children's|Comedy|Drama
588,34,3,985647801,F,25,11,23220,Babe (1995),Children's|Comedy|Drama
590,34,5,975913292,F,35,6,98032,Babe (1995),Children's|Comedy|Drama
591,34,5,975909040,M,25,0,76201,Babe (1995),Children's|Comedy|Drama
605,34,4,975870732,F,18,4,44425,Babe (1995),Children's|Comedy|Drama
606,34,2,975869242,F,1,10,49507,Babe (1995),Children's|Comedy|Drama
610,34,5,975861322,M,25,4,77025,Babe (1995),Children's|Comedy|Drama
611,34,4,977155066,M,35,0,20715,Babe (1995),Children's|Comedy|Drama
614,34,3,975807442,M,35,1,90024,Babe (1995),Children's|Comedy|Drama
622,34,3,975796093,M,25,0,92612,Babe (1995),Children's|Comedy|Drama
623,34,4,978751420,M,25,17,60555,Babe (1995),Children's|Comedy|Drama
628,34,4,975781961,F,35,0,20715,Babe (1995),Children's|Comedy|Drama
629,34,4,975784303,F,1,10,48154,Babe (1995),Children's|Comedy|Drama
630,34,5,976207207,F,35,14,80525,Babe (1995),Children's|Comedy|Drama
634,34,3,975774319,F,1,10,49512,Babe (1995),Children's|Comedy|Drama
635,34,5,975769597,M,56,17,33785,Babe (1995),Children's|Comedy|Drama
637,34,5,975734150,M,35,12,97132,Babe (1995),Children's|Comedy|Drama
640,34,5,975726198,M,18,4,47406,Babe (1995),Children's|Comedy|Drama
645,34,5,975715669,M,35,20,11215,Babe (1995),Children's|Comedy|Drama
647,34,4,975714195,M,35,12,85224,Babe (1995),Children's|Comedy|Drama
654,34,4,975700535,M,50,7,75023,Babe (1995),Children's|Comedy|Drama
655,34,3,975704207,F,25,2,92629,Babe (1995),Children's|Comedy|Drama
658,34,4,975692221,F,25,0,10021,Babe (1995),Children's|Comedy|Drama
659,34,4,975691010,F,25,0,28134,Babe (1995),Children's|Comedy|Drama
660,34,4,975690314,M,45,16,70507,Babe (1995),Children's|Comedy|Drama
664,34,5,975992783,M,35,18,74601,Babe (1995),Children's|Comedy|Drama
669,34,5,975630917,M,25,17,30307,Babe (1995),Children's|Comedy|Drama
671,34,4,975647750,M,18,4,61761,Babe (1995),Children's|Comedy|Drama
673,34,4,975619309,M,25,20,10023,Babe (1995),Children's|Comedy|Drama
676,34,3,975649152,M,18,16,55129,Babe (1995),Children's|Comedy|Drama
677,34,5,975610972,M,50,2,94122,Babe (1995),Children's|Comedy|Drama
678,34,5,975609083,M,25,0,34952,Babe (1995),Children's|Comedy|Drama
682,34,4,975602532,M,25,4,27510,Babe (1995),Children's|Comedy|Drama
687,34,5,975599920,F,25,7,14136,Babe (1995),Children's|Comedy|Drama
690,34,3,975583745,M,25,12,90717,Babe (1995),Children's|Comedy|Drama
691,34,5,1010907849,M,35,11,96813,Babe (1995),Children's|Comedy|Drama
696,34,4,975560625,M,25,12,94114,Babe (1995),Children's|Comedy|Drama
697,34,5,975560663,F,50,6,97330,Babe (1995),Children's|Comedy|Drama
702,34,5,975551677,M,35,7,90808,Babe (1995),Children's|Comedy|Drama
706,34,5,975543215,M,35,20,78664,Babe (1995),Children's|Comedy|Drama
713,34,4,975535787,M,35,7,79912,Babe (1995),Children's|Comedy|Drama
714,34,4,975782357,M,18,4,76013,Babe (1995),Children's|Comedy|Drama
721,34,4,975695016,F,35,9,97520,Babe (1995),Children's|Comedy|Drama
726,34,4,975519140,F,25,9,77449,Babe (1995),Children's|Comedy|Drama
727,34,4,975517941,M,35,11,94061,Babe (1995),Children's|Comedy|Drama
728,34,2,975514588,M,25,6,11598,Babe (1995),Children's|Comedy|Drama
731,34,5,975529161,M,45,3,55410,Babe (1995),Children's|Comedy|Drama
733,34,5,975481380,M,35,16,30034,Babe (1995),Children's|Comedy|Drama
739,34,4,975475288,M,35,12,55803,Babe (1995),Children's|Comedy|Drama
743,34,3,979416739,F,1,2,60660,Babe (1995),Children's|Comedy|Drama
746,34,2,975466816,F,18,19,95019,Babe (1995),Children's|Comedy|Drama
749,34,3,996557897,M,35,18,56303,Babe (1995),Children's|Comedy|Drama
752,34,4,975459073,F,25,3,97401,Babe (1995),Children's|Comedy|Drama
754,34,3,975539531,M,35,7,38024,Babe (1995),Children's|Comedy|Drama
755,34,4,997812899,F,35,0,94002,Babe (1995),Children's|Comedy|Drama
757,34,4,975454430,M,25,12,97401,Babe (1995),Children's|Comedy|Drama
765,34,3,975451822,M,25,17,74467,Babe (1995),Children's|Comedy|Drama
769,34,3,975443316,M,45,17,2421,Babe (1995),Children's|Comedy|Drama
770,34,2,976180968,M,18,4,98499,Babe (1995),Children's|Comedy|Drama
774,34,3,975441360,M,18,4,22903,Babe (1995),Children's|Comedy|Drama
776,34,5,975605122,F,25,3,92627,Babe (1995),Children's|Comedy|Drama
777,34,2,975441383,M,18,19,87543,Babe (1995),Children's|Comedy|Drama
780,34,4,975438382,M,25,17,91776,Babe (1995),Children's|Comedy|Drama
791,34,5,980621423,M,35,7,27511,Babe (1995),Children's|Comedy|Drama
795,34,4,975417197,F,35,14,19147,Babe (1995),Children's|Comedy|Drama
796,34,4,976288815,M,50,6,98237,Babe (1995),Children's|Comedy|Drama
798,34,5,975409518,F,25,20,48464,Babe (1995),Children's|Comedy|Drama
813,34,4,975392914,M,18,4,70002,Babe (1995),Children's|Comedy|Drama
